,work_year,salary_in_usd,remote_ratio
0,2020,92302.63157894737,65.13157894736842
1,2021,94087.20869565217,68.69565217391305
2,2022,133338.62079326922,55.40865384615385
3,2023,149045.54117647058,34.061624649859944
